Accuracy,F1
69.15,48.495
68.51,46.16
68.51,46.828
68.51,47.015
68.51,46.193
68.51,46.381
68.51,46.487
68.51,46.487
68.51,45.875
68.8,48.113
68.8,47.944
68.64,47.032
68.64,47.032
69.2,48.562
69.2,48.316
68.93,47.116
68.93,47.116
68.93,48.238
69.16,48.462
