Accuracy,F1
69.15,48.495
69.15,48.495
69.15,48.495
69.15,48.495
69.27,48.594
69.34,48.681
69.34,48.681
69.34,48.681
69.06,48.425
68.95,48.369
68.95,48.369
68.92,48.369
69.45,48.768
69.45,48.768
69.45,48.768
68.99,48.34
69.08,48.504
69.08,48.504
69.08,48.504
